,date,13ty_index,interty_index,lty_index,mbs_index,13cy_index,intercy_index,lcy_index,ty_index,cy_index,agg_index,real_known,cat_obs1,cat_obs2,cat_knwon1,cat_knwon2,static
0,1997-05-19,133.46,784.22,840.64,751.37,668.1,893.58,912.47,824.23,861.0,715.66,215.63265161587552,2,2,4,3,1.0
1,1997-05-20,133.58,785.01,840.34,751.82,668.74,894.56,912.29,824.78,861.51,716.09,980.1127268803834,2,1,5,4,1.0
2,1997-05-21,133.59,784.63,836.47,751.97,668.77,893.58,908.76,823.54,859.71,715.31,247.7662858478975,2,1,4,4,1.0
3,1997-05-22,133.58,784.33,834.66,751.97,668.71,892.96,906.86,822.86,858.69,714.88,306.0380650024963,2,1,3,4,1.0
4,1997-05-23,133.58,784.7,835.59,752.27,668.71,893.58,907.77,823.37,859.37,715.31,944.6448829488384,0,2,3,3,1.0
5,1997-05-26,133.58,784.7,835.59,752.27,668.71,893.58,907.77,823.37,859.37,715.31,236.4154479490681,0,1,3,3,1.0
6,1997-05-27,133.62,784.2,832.52,751.22,668.88,892.51,904.82,822.24,857.75,714.24,284.1949494582585,2,2,5,5,1.0
7,1997-05-28,133.59,783.98,832.64,751.07,668.7,892.25,904.96,822.09,857.58,714.1,681.8469560526685,1,1,4,3,1.0
8,1997-05-29,133.71,785.08,836.95,752.19,669.36,894.03,909.3,824.01,860.14,715.66,46.629788221495886,2,1,3,5,1.0
9,1997-05-30,133.92,786.91,842.33,755.28,670.6,898.06,917.19,827.44,865.2,718.66,791.5263003094216,1,1,4,4,1.0
10,1997-06-02,133.94,787.59,844.65,755.64,670.56,898.53,918.53,827.86,866.16,719.26,113.1862125019445,2,1,3,3,1.0
11,1997-06-03,134.02,788.38,847.58,757.07,670.99,899.79,921.47,829.21,867.98,720.56,86.66309901824354,2,0,5,4,1.0
12,1997-06-04,134.03,788.46,847.24,757.3,671.07,899.97,921.19,829.18,867.89,720.63,717.9419182038528,1,2,5,4,1.0
13,1997-06-05,134.05,788.54,847.04,757.45,671.17,900.06,921.01,829.2,867.89,720.63,527.4384482267275,2,0,4,5,1.0
14,1997-06-06,134.28,791.1,856.55,760.77,672.44,904.19,930.18,833.54,873.6,724.44,287.7351540783575,2,0,3,4,1.0
15,1997-06-09,134.24,790.21,852.31,759.79,672.19,902.57,926.33,831.81,871.35,723.0,97.86883328923679,1,0,4,4,1.0
16,1997-06-10,134.22,789.94,851.85,759.34,672.09,902.21,925.68,831.49,870.83,722.64,250.73353932512677,2,2,5,3,1.0
17,1997-06-11,134.23,790.13,852.61,759.41,672.15,902.57,926.69,831.81,871.44,722.93,360.5972945627616,0,1,5,3,1.0
18,1997-06-12,134.5,792.58,858.75,762.13,673.63,906.16,932.47,835.25,875.68,725.88,72.23187628678384,2,2,3,5,1.0
19,1997-06-13,134.6,793.71,862.61,763.64,674.13,908.41,937.33,837.09,878.71,727.6,867.1030180161316,1,0,5,5,1.0
20,1997-06-16,134.7,794.59,864.86,764.7,674.72,909.76,939.71,838.33,880.35,728.68,346.85255551287696,1,1,4,3,1.0
21,1997-06-17,134.66,794.06,863.57,763.94,674.49,909.04,938.61,837.6,879.48,728.03,704.0618284165835,2,0,4,5,1.0
22,1997-06-18,134.73,794.72,865.97,764.62,674.85,910.12,941.09,838.71,881.04,728.97,579.6536761844286,0,0,4,5,1.0
23,1997-06-19,134.74,794.79,866.62,764.7,674.92,910.21,941.73,838.92,881.3,729.11,448.132111441374,2,1,3,5,1.0
24,1997-06-20,134.79,795.43,869.51,765.45,675.24,911.19,944.66,840.13,882.95,730.12,983.4803498389876,2,0,3,4,1.0
25,1997-06-23,134.8,795.12,866.99,765.15,675.28,910.48,942.28,839.27,881.73,729.47,501.14211387605667,0,0,3,3,1.0
26,1997-06-24,134.82,795.16,867.0,765.15,675.39,910.48,942.19,839.31,881.65,729.47,878.8531977300249,0,1,5,3,1.0
27,1997-06-25,134.83,794.8,863.52,764.78,675.39,909.67,938.8,838.17,880.0,728.61,923.1542779321234,2,1,3,3,1.0
28,1997-06-26,134.81,794.04,859.27,763.79,675.25,908.14,934.67,836.53,877.67,727.24,309.40685682560496,2,2,4,5,1.0
